Class,Proportion [%]
Sergei Sudarikov,0.04
Wijono Tanoko,0.04
Haryanto Tjiptodihardjo,0.04
Lee Joong-keun,0.04
Kenzo Tsujimoto,0.04
Murat Vargi,0.04
Shigefumi Wada,0.04
Wan Feng & family,0.04
Wang Jianfeng & family,0.04
Masaru Wasami,0.04
V. Prem Watsa,0.04
Wen Pengcheng & family,0.04
Toto Wolff,0.04
David Tran & family,0.04
John Christodoulou,0.04
Pollyanna Chu,0.04
Turgay Ciner,0.04
Benoit Dageville,0.04
Mark Dixon,0.04
Du Yulin & family,0.04
Feng Yuxia,0.04
Benedicte Find,0.04
William Fisher,0.04
Vera Rechulski Santo Domingo,0.04
Jianming Geng,0.04
Sven Hagströmer,0.04
Clelia Haji-Ioannou,0.04
Stelios Haji-Ioannou,0.04
Hang Hong,0.04
He Yamin & family,0.04
Ghan Djoe Hiang,0.04
Hong Feng,0.04
Tyler Perry,0.04
Réal Plourde,0.04
Gao Yunfeng,0.04
Dieter Schwarz,0.04
François Pinault & family,0.04
Klaus-Michael Kuehne,0.04
Giovanni Ferrero,0.04
Jacqueline Mars,0.04
John Mars,0.04
Li Ka-shing,0.04
Ma Huateng,0.04
Miriam Adelson & family,0.04
Franziska Wuerbser,0.04
Mark Mateschitz,0.04
Robin Zeng,0.04
Tadashi Yanai & family,0.04
Len Blavatnik,0.04
Alain Wertheimer,0.04
Gerard Wertheimer,0.04
Gianluigi Aponte,0.04
Rafaela Aponte-Diamant,0.04
Colin Zheng Huang,0.04
Ken Griffin,0.04
Xie Bingzheng & family,0.04
Xu Gang,0.04
Yan Junxu,0.04
Yi Xianzhong & family,0.04
Yu Rong,0.04
"Richard Yuengling, Jr.",0.04
Zhang Gongyun,0.04
Zhang Guiping & family,0.04
Reinhold Wuerth & family,0.04
Zhang Yiming,0.04
Mark Zuckerberg,0.04
Charles Koch & family,0.04
Julia Koch & family,0.04
Jim Walton,0.04
Rob Walton & family,0.04
Alice Walton,0.04
Morris Kahn,0.04
Michael Dell,0.04
Gautam Adani,0.04
Phil Knight & family,0.04
Zhong Shanshan,0.04
Matthew Roszak,0.04
Paul Sciarra,0.04
Rajesh Sharma,0.04
Dean Solon,0.04
Michael Spencer,0.04
Joseph Steinberg,0.04
Zachary Stern,0.04
Manny Stul,0.04
Sun Hongjun,0.04
Kochouseph Chittilappilly,0.04
Sehat Sutardja,0.04
Min-Liang Tan,0.04
Tan Yu Yeh,0.04
Tang Aoqi & family,0.04
Vonnarat Tangkaravakoon,0.04
Tsao Ter-fung,0.04
Tung Ching Sai,0.04
Arkady Volozh,0.04
Peter-Alexander Wacker,0.04
Sun Weijie,0.04
Nancy Lerner,0.04
Norma Lerner,0.04
Randolph Lerner,0.04
Lin Zhijun,0.04
Lin Zhixiong & family,0.04
Jeffrey Lorberbaum,0.04
Lu Rongfu,0.04
Lyu Yixiong,0.04
Soichiro Minami,0.04
Helena Revoredo,0.04
Renu Munjal,0.04
Suman Munjal,0.04
Dmitry Nikolaev,0.04
Sjamsul Nursalim,0.04
Adrian Paval,0.04
Antonio Percassi,0.04
Kevin Plank,0.04
G.V. Prasad,0.04
Pu Zhongjie & family,0.04
Rao Wei & family,0.04
Pawan Munjal,0.04
Zhu Zhaojiang,0.04
Zhuo Jun,0.04
Manohar Lal Agarwal,0.04
Christian Angermayer,0.04
Ryuji Arai,0.04
Anna Maria Braun,0.04
Johanna Braun,0.04
Karl Friedrich Braun,0.04
