Class,Proportion [%]
Zhixiong,0.04
Ka-shing,0.04
Jacqueline,0.04
Klaus-Michael,0.04
François,0.04
Gautam,0.04
Rob,0.04
Shanshan,0.04
Amancio,0.04
Francoise,0.04
Hideyuki,0.04
Ana Maria,0.04
Ludwig Theodor,0.04
Huateng,0.04
Ihor,0.04
Jung-woong,0.04
Muhammed Aziz,0.04
Marcelo,0.04
Ashok,0.04
Johan,0.04
LeBron,0.04
Inder ,0.04
Hedda,0.04
Danilo,0.04
Gengxi,0.04
Antares,0.04
Ghan Djoe,0.04
Yamin,0.04
Stelios,0.04
Clelia,0.04
Sven,0.04
Benedicte,0.04
Yuxia,0.04
Yulin,0.04
Benoit,0.04
Turgay,0.04
Pollyanna,0.04
Mukesh,0.04
Seok-joh,0.04
Ter-fung,0.04
Vonnarat,0.04
Aoqi,0.04
Yu Yeh,0.04
Min-Liang,0.04
Sehat,0.04
Weijie,0.04
Hongjun,0.04
Manny,0.04
Zachary,0.04
Dean,0.04
Karl Friedrich,0.04
Helena,0.04
Zhongjie,0.04
G.V.,0.04
Adrian,0.04
Sjamsul,0.04
Dmitry ,0.04
Suman,0.04
Renu,0.04
Pawan,0.04
Soichiro,0.04
Yixiong,0.04
Rongfu,0.04
Rajesh,0.04
Johanna,0.04
Anna Maria,0.04
Ryuji,0.04
Manohar Lal,0.04
Zhaojiang,0.04
Xuewu,0.04
Xuansong,0.04
Kapeng,0.04
Chaolin,0.04
Faxiang,0.04
Kuo-I,0.04
Ching Sai,0.04
Qiongjiu,0.04
Hsiao Tung,0.04
Jiping,0.04
Jiangnan,0.04
Laigui,0.04
Li-gann,0.04
Kaiting,0.04
Tiger,0.04
Allan,0.04
Lars,0.04
Han,0.04
Peter-Alexander,0.04
Yanqiao,0.04
Zelong,0.04
Shuifu,0.04
Jilei,0.04
Jianyi,0.04
Wilma,0.04
Charlotte,0.04
Nobutoshi,0.04
Radik,0.04
Airat,0.04
Subhash,0.04
Mochtar,0.04
Kim,0.04
Jinghong,0.04
Shiyi,0.04
Longquan,0.04
Gretel,0.04
Niti,0.04
Tadako,0.04
Marius,0.04
Yoshiko,0.04
Yongjun,0.04
Shouliang,0.04
Deepak,0.04
M.Satyanarayana,0.04
Hari,0.04
Othman,0.04
Banwari Lal,0.04
Elena,0.04
Kiki,0.04
Sachin,0.04
Ziv,0.04
Anant,0.04
Chirayu,0.04
Rajendra,0.04
Soegiarto,0.04
Werner O.,0.04
Chengjian,0.04
Sheng Jian,0.04
Jianjiang,0.04
Xinghai,0.04
Keqiang,0.04
Chuanwei,0.04
Peidi,0.04
Kuizhang,0.04
Guozhong,0.04
Stein Erik,0.04
Chaoqun,0.04
Bo,0.04
A. Jayson,0.04
Torstein,0.04
Rajinder,0.04
Yihong,0.04
Lance,0.04
Reinold,0.04
Sasson,0.04
Thian Poh,0.04
Wenyuan,0.04
